Date,Open,High,Low,Close,Adj Close,Volume
2020-01-29,59100.000000,59700.000000,58800.000000,59100.000000,55485.578125,16446102
2020-01-30,58800.000000,58800.000000,56800.000000,57200.000000,53701.785156,20821939
2020-01-31,57800.000000,58400.000000,56400.000000,56400.000000,52950.710938,19749457
2020-02-03,55500.000000,57400.000000,55200.000000,57200.000000,53701.785156,23995260
2020-02-04,57100.000000,59000.000000,56800.000000,58900.000000,55297.820313,21800192
2020-02-05,60000.000000,60200.000000,58900.000000,59500.000000,55861.121094,19278165
2020-02-06,60100.000000,61100.000000,59700.000000,61100.000000,57363.269531,14727159
2020-02-07,61100.000000,61200.000000,59700.000000,60400.000000,56706.078125,16402493
2020-02-10,59200.000000,59800.000000,59100.000000,59700.000000,56048.890625,13107121
2020-02-11,59800.000000,60700.000000,59700.000000,59900.000000,56236.660156,11071231
2020-02-12,60300.000000,60700.000000,59700.000000,60500.000000,56799.964844,12904207
2020-02-13,61200.000000,61600.000000,60500.000000,60700.000000,56987.730469,18449775
2020-02-14,60900.000000,61900.000000,60200.000000,61800.000000,58020.453125,13276067
2020-02-17,61600.000000,62000.000000,61200.000000,61500.000000,57738.804688,8740596
2020-02-18,60800.000000,60900.000000,59700.000000,59800.000000,56142.769531,16674266
2020-02-19,59800.000000,60400.000000,59400.000000,60200.000000,56518.308594,12951496
2020-02-20,60700.000000,61300.000000,59600.000000,60000.000000,56330.539063,14591924
2020-02-21,58800.000000,59800.000000,58500.000000,59200.000000,55579.468750,13777393
2020-02-24,57400.000000,58100.000000,56800.000000,56800.000000,53326.250000,25627537
2020-02-25,56200.000000,58000.000000,56200.000000,57900.000000,54358.968750,23885408
2020-02-26,56000.000000,57000.000000,56000.000000,56500.000000,53044.585938,25483102
2020-02-27,56300.000000,56900.000000,55500.000000,55900.000000,52481.289063,23209541
2020-02-28,55000.000000,55500.000000,54200.000000,54200.000000,50885.257813,30054227
2020-03-02,54300.000000,55500.000000,53600.000000,55000.000000,51636.332031,30403412
2020-03-03,56700.000000,56900.000000,55100.000000,55400.000000,52011.863281,30330295
2020-03-04,54800.000000,57600.000000,54600.000000,57400.000000,53889.550781,24765728
2020-03-05,57600.000000,58000.000000,56700.000000,57800.000000,54265.085938,21698990
2020-03-06,56500.000000,57200.000000,56200.000000,56500.000000,53044.585938,18716656
2020-03-09,56500.000000,56500.000000,56500.000000,56500.000000,53044.585938,0
2020-03-10,53800.000000,54900.000000,53700.000000,54600.000000,51260.796875,32106554
2020-03-11,54300.000000,54400.000000,52000.000000,52100.000000,48913.683594,45707281
2020-03-12,52100.000000,52100.000000,52100.000000,52100.000000,48913.683594,0
2020-03-13,47450.000000,51600.000000,46850.000000,49950.000000,46895.175781,59462933
2020-03-16,50100.000000,50900.000000,48800.000000,48900.000000,45909.386719,33339821
2020-03-17,46900.000000,49650.000000,46700.000000,47300.000000,44407.246094,51218151
2020-03-18,47750.000000,48350.000000,45600.000000,45600.000000,42811.210938,40152623
2020-03-19,46400.000000,46650.000000,42300.000000,42950.000000,40323.285156,56925513
2020-03-20,44150.000000,45500.000000,43550.000000,45400.000000,42623.441406,49730008
2020-03-23,42600.000000,43550.000000,42400.000000,42500.000000,39900.800781,41701626
2020-03-24,43850.000000,46950.000000,43050.000000,46950.000000,44078.652344,49801908
2020-03-25,48950.000000,49600.000000,47150.000000,48650.000000,45674.679688,52735922
2020-03-26,49000.000000,49300.000000,47700.000000,47800.000000,44876.664063,42185129
2020-03-27,49600.000000,49700.000000,46850.000000,48300.000000,45346.082031,39896178
